2021-06-07 17:44:29 INFO  servlet:371 - 2 Spring WebApplicationInitializers detected on classpath
2021-06-07 17:44:30 INFO  servlet:371 - Initializing Spring DispatcherServlet 'dispatcher'
2021-06-07 17:44:30 INFO  DispatcherServlet:525 - Initializing Servlet 'dispatcher'
2021-06-07 17:44:30 INFO  MLog:212 - MLog clients using slf4j logging.
2021-06-07 17:44:30 INFO  C3P0Registry:212 - Initializing c3p0-0.9.5.2 [built 08-December-2015 22:06:04 -0800; debug? true; trace: 10]
2021-06-07 17:44:30 INFO  Version:44 - HHH000412: Hibernate ORM core version 5.4.30.Final
2021-06-07 17:44:30 INFO  Version:56 - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2021-06-07 17:44:30 INFO  AbstractPoolBackedDataSource:212 - Initializing c3p0 pool... com.mchange.v2.c3p0.ComboPooledDataSource [ acquireIncrement -> 3, acquireRetryAttempts -> 30, acquireRetryDelay -> 1000, autoCommitOnClose -> false, automaticTestTable -> null, breakAfterAcquireFailure -> false, checkoutTimeout -> 0, connectionCustomizerClassName -> null, connectionTesterClassName -> com.mchange.v2.c3p0.impl.DefaultConnectionTester, contextClassLoaderSource -> caller, dataSourceName -> 1hge0waah1s2pu6yw1w54l|192586bc, debugUnreturnedConnectionStackTraces -> false, description -> null, driverClass -> com.mysql.cj.jdbc.Driver, extensions -> {}, factoryClassLocation -> null, forceIgnoreUnresolvedTransactions -> false, forceSynchronousCheckins -> false, forceUseNamedDriverClass -> false, identityToken -> 1hge0waah1s2pu6yw1w54l|192586bc, idleConnectionTestPeriod -> 0, initialPoolSize -> 3, jdbcUrl -> jdbc:mysql://localhost:3306/logiWeb?useSSL=false&amp&serverTimezone=UTC, maxAdministrativeTaskTime -> 0, maxConnectionAge -> 0, maxIdleTime -> 0, maxIdleTimeExcessConnections -> 0, maxPoolSize -> 15, maxStatements -> 0, maxStatementsPerConnection -> 0, minPoolSize -> 3, numHelperThreads -> 3, preferredTestQuery -> null, privilegeSpawnedThreads -> false, properties -> {password=******, user=******}, propertyCycle -> 0, statementCacheNumDeferredCloseThreads -> 0, testConnectionOnCheckin -> false, testConnectionOnCheckout -> false, unreturnedConnectionTimeout -> 0, userOverrides -> {}, usesTraditionalReflectiveProxies -> false ]
2021-06-07 17:44:31 INFO  Dialect:175 - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
2021-06-07 17:44:31 INFO  JtaPlatformInitiator:52 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.WildFlyStandAloneJtaPlatform]
2021-06-07 17:44:31 INFO  DefaultSecurityFilterChain:51 - Will secure any request with [ru.usachev.LogiWebProject.filter.CharacterSetFilter@12723b00, ru.usachev.LogiWebProject.filter.CharacterSetFilter@2009fa4c, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@426051a0, org.springframework.security.web.context.SecurityContextPersistenceFilter@41cfb08a, org.springframework.security.web.header.HeaderWriterFilter@2a791815, org.springframework.security.web.csrf.CsrfFilter@91bf230, org.springframework.security.web.authentication.logout.LogoutFilter@29c73c8b, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@6b849798, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5e040514, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@67ce5fda, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@47151adc, org.springframework.security.web.session.SessionManagementFilter@6d582e1, org.springframework.security.web.access.ExceptionTranslationFilter@128cdb3, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@60d5df24]
